Subject,Release,Acquisition,Gender,Age,3T_Full_MR_Compl,7T_Full_MR_Compl,MEG_FullProt_Compl
174437,S900,Q01,F,31-35,true,false,false
174841,S900,Q09,M,22-25,true,false,false
175035,S500,Q05,M,22-25,true,false,false
175136,S1200,Q12,F,22-25,true,false,false
175237,S900,Q10,F,31-35,true,true,true
175338,S900,Q10,F,22-25,true,false,false
175439,Q2,Q02,F,31-35,true,false,false
175540,MEG2,Q03,M,31-35,false,false,false
175742,S900,Q08,F,31-35,true,false,false
175944,S900,Q11,M,26-30,false,false,false
176037,S900,Q08,F,26-30,true,false,false
176239,S900,Q07,M,31-35,true,false,false
176441,S900,Q11,M,26-30,true,false,false
176542,Q3,Q03,F,26-30,true,true,false
176744,S900,Q08,M,31-35,false,false,false
176845,S1200,Q11,F,26-30,true,false,false
177140,S1200,Q13,F,31-35,true,true,false
177241,S900,Q08,M,26-30,true,false,false
177342,S900,Q09,M,22-25,false,false,false
177645,S500,Q05,F,26-30,true,true,false
177746,Q2,Q02,F,26-30,false,true,true
178142,S500,Q05,F,26-30,true,true,false
178243,S900,Q10,M,22-25,true,true,false
178647,S900,Q08,F,31-35,true,true,false
178748,S500,Q04,M,31-35,false,false,false
178849,S500,Q06,M,22-25,true,false,false
178950,Q3,Q04,M,31-35,true,false,false
179043,S500,Q05,F,26-30,false,false,false
179245,S900,Q10,F,31-35,true,false,false
179346,S500,Q06,F,26-30,true,false,false
179548,S500,Q05,F,26-30,false,false,false
179952,S900,Q06,F,26-30,false,false,false
180129,S500,Q06,F,26-30,true,false,false
180230,S1200,Q13,F,26-30,true,false,false
180432,S500,Q04,F,31-35,true,false,false
180533,S1200,Q12,F,31-35,false,true,false
180735,S900,Q08,F,31-35,true,false,false
180836,S500,Q05,F,31-35,true,false,false
180937,S500,Q06,M,36+,true,false,false
181131,S500,Q06,F,31-35,true,false,false
181232,S500,Q04,F,26-30,true,true,false
181636,S900,Q08,F,31-35,true,false,false
182032,S900,Q07,F,31-35,false,false,false
182436,S900,Q07,F,31-35,true,true,false
182739,Q1,Q01,F,26-30,true,true,false
182840,Q2,Q03,M,31-35,false,false,false
183034,S500,Q05,M,31-35,true,false,false
183337,S900,Q09,F,31-35,false,false,false
183741,S1200,Q12,M,31-35,false,false,false
184642,S1200,Q12,F,31-35,false,false,false
185038,S1200,Q11,M,31-35,true,false,false
185139,Q2,Q01,F,31-35,true,false,false
185341,S900,Q09,F,22-25,true,false,false
185442,S500,Q07,M,22-25,true,true,true
185846,S900,Q10,M,26-30,false,false,false
185947,S900,Q08,F,26-30,true,false,false
186040,S1200,Q09,M,26-30,false,false,false
186141,S500,Q04,M,31-35,true,false,false
186242,S900,Q11,M,26-30,false,false,false
186444,S900,Q10,F,22-25,true,false,false
186545,S1200,Q13,F,31-35,true,false,false
