Subject,Release,Acquisition,Gender,Age,3T_Full_MR_Compl,7T_Full_MR_Compl,MEG_FullProt_Compl,DDisc_AUC_200,DDisc_AUC_40K
168240,S900,Q08,M,26-30,true,false,false,0.15501459,0.26145855
168341,S500,Q05,M,31-35,true,false,false,0.09759271,0.24453145
168745,S900,Q11,F,22-25,true,false,false,0.06386875,0.12968771
168947,S1200,Q12,F,26-30,true,false,false,0.32715,0.82265645
169040,S900,Q08,M,22-25,true,true,true,0.047071874,0.39466166
169444,S500,Q06,F,26-30,true,true,false,0.43782708,0.93984395
169545,S1200,Q13,M,22-25,true,false,false,0.20319167,0.7394533
169949,S900,Q11,M,26-30,true,false,false,0.13678542,0.21302104
170631,S900,Q04,F,31-35,true,false,false,0.44147292,0.6937502
171330,S900,Q09,M,26-30,true,false,false,0.053972915,0.08737
171532,S900,Q08,F,31-35,true,false,false,0.21985833,0.28515646
171633,S500,Q05,M,26-30,true,true,false,0.16829583,0.5812502
172029,S500,Q06,M,26-30,true,false,false,0.17454584,0.33684915
172130,S500,Q05,M,26-30,true,true,false,0.11048333,0.26966166
172332,Q1,Q02,F,26-30,true,false,false,0.16087396,0.33372417
172433,S900,Q11,M,22-25,true,false,false,0.28274897,0.28151062
172534,S500,Q04,F,22-25,true,false,false,0.27767083,0.23528667
172938,S500,Q04,F,31-35,true,false,false,0.18235834,0.06276062
173334,S500,Q04,M,26-30,true,true,false,0.20032708,0.2640627
173435,S500,Q05,F,26-30,true,false,false,0.30475417,0.8265627
173536,S500,Q06,F,31-35,true,false,false,0.26048332,0.3656252
173637,S900,Q09,F,22-25,true,false,false,0.093295835,0.61028665
173738,S900,Q11,M,31-35,true,false,false,0.2754573,0.36914083
173839,S900,Q11,F,22-25,true,false,false,0.53261876,0.9734377
173940,S500,Q05,F,26-30,true,false,false,0.13691562,0.11536479
174437,S900,Q01,F,31-35,true,false,false,0.06881667,0.37864605
174841,S900,Q09,M,22-25,true,false,false,0.46725416,0.9296877
175035,S500,Q05,M,22-25,true,false,false,0.015691666,0.21145855
175136,S1200,Q12,F,22-25,true,false,false,0.11399896,0.5901044
175237,S900,Q10,F,31-35,true,true,true,0.95319164,0.9191408
