tractID,Unnamed: 0,nodeID,dki_fa,dki_md,dki_mk,dki_awf,subjectID
SupParietal,2249.5,49.5,0.574710387191781,0.00089325122470395,0.9927857380740401,0.41035034118840946,150019
Temporal,2349.5,49.5,0.5763244571210556,0.000966539159644582,1.0230548959702652,0.4039058112665734,150019
UNC_L,1549.5,49.5,0.41823718462641585,0.000960849374175538,0.8987924455968749,0.3122245031282507,150019
UNC_R,1449.5,49.5,0.47511155200263,0.000887855107403274,0.9676535460343277,0.3365291449275204,150019
ARC_L,1349.5,49.5,0.5324763204061651,0.000872119112886143,1.079186970232253,0.4119540170780255,150524
ARC_R,1249.5,49.5,0.5125500491668944,0.0008482791054972071,1.0848991407578017,0.41330702823325927,150524
ATR_L,149.5,49.5,0.5015150855711856,0.0008248683384860949,0.986808283217417,0.37663203591270067,150524
ATR_R,49.5,49.5,0.44373168062268326,0.000908248049719484,1.0463385082484784,0.3607813843894368,150524
AntFrontal,1649.5,49.5,0.5563402675426772,0.0008905534561935049,1.0437082961562851,0.41108148258752136,150524
CGC_L,349.5,49.5,0.5528878966977397,0.0008901113432337681,1.0359746056306613,0.4081387186665171,150524
CGC_R,249.5,49.5,0.5377522283412768,0.000889600314859705,1.0571060063675746,0.4026660996052353,150524
CST_L,549.5,49.5,0.5808876196000459,0.000847125121113432,1.0804630144638292,0.42409434822670555,150524
CST_R,449.5,49.5,0.5748789027598363,0.000849890241648832,1.0988647046960833,0.4252296108495189,150524
IFO_L,749.5,49.5,0.5733798258480168,0.0008800359599309519,1.034260864247968,0.3998932817667869,150524
IFO_R,649.5,49.5,0.5406654643243849,0.000941339104750175,1.0328368041259235,0.3906825372320484,150524
ILF_L,949.5,49.5,0.5358600468813488,0.0009343429233190679,0.976688260325679,0.3760981596944347,150524
ILF_R,849.5,49.5,0.507119233844269,0.0009524676019397201,0.9823545750541364,0.37008117136913476,150524
Motor,1749.5,49.5,0.5718525938924174,0.000890705148324973,1.0399258272894798,0.415882995203908,150524
Occipital,1849.5,49.5,0.6541856266216222,0.001003070906086471,0.9627479092311146,0.4292752826572201,150524
Orbital,1949.5,49.5,0.5267176274366103,0.0008720433648137401,1.11134465899679,0.4034082964820381,150524
PostParietal,2049.5,49.5,0.6000372471941966,0.0008650151729789051,0.9833802834520471,0.4226407252344984,150524
SLF_L,1149.5,49.5,0.4941495682948205,0.0008982386112862881,1.0449632397800384,0.40012893458497756,150524
